"","Sensitivity","Specificity","PPV","NPV","Acc","F1","BalAcc"
"First iteration",0.65796,0.5485,0.17614,0.91604,0.56204,0.27708,0.60324
"Last iteration",0.63874,0.54454,0.1707,0.91422,0.55702,0.26822,0.59162
"Percentage Gain",-2.92115022189799,-0.721969006381033,-3.088452367435,-0.19868128029343,-0.893174862999079,-3.19763245272123,-1.92626483654929
