"","Sensitivity","Specificity","PPV","NPV","Acc","F1","BalAcc"
"First iteration",0.97904,0.03816,0.1306,0.92444,0.15898,0.2302,0.5086
"Last iteration",0.8651,0.13326,0.12716,0.90042,0.22794,0.22132,0.49922
"Percentage Gain",-11.6379310344828,249.213836477987,-2.63399693721286,-2.5983297996625,43.3765253491005,-3.85751520417027,-1.84427841132522
