"","Sensitivity","Specificity","PPV","NPV","Acc","F1","BalAcc"
"First iteration",0.66326,0.56982,0.1849,0.92,0.58164,0.28854,0.61654
"Last iteration",0.68854,0.56118,0.18648,0.92372,0.57656,0.29254,0.62484
"Percentage Gain",3.81147664565933,-1.51626829525113,0.854515954570037,0.404347826086951,-0.873392476445926,1.38628959589658,1.34622246731761
