"","it1-TP","it2-TP","it3-TP","it4-TP","it5-TP","it6-TP","it7-TP","it8-TP","it9-TP","it10-TP","it1-TN","it2-TN","it3-TN","it4-TN","it5-TN","it6-TN","it7-TN","it8-TN","it9-TN","it10-TN","it1-FP","it2-FP","it3-FP","it4-FP","it5-FP","it6-FP","it7-FP","it8-FP","it9-FP","it10-FP","it1-FN","it2-FN","it3-FN","it4-FN","it5-FN","it6-FN","it7-FN","it8-FN","it9-FN","it10-FN"
"FOLD1",22,23,19,21,23,19,20,20,22,21,123,127,121,115,120,115,118,116,117,118,81,77,83,89,84,89,86,88,87,86,9,8,12,10,8,12,11,11,9,10
"FOLD2",16,19,18,18,16,16,15,17,17,19,117,120,115,111,121,119,117,115,114,114,93,90,95,99,89,91,93,95,96,96,9,6,7,7,9,9,10,8,8,6
"FOLD3",18,19,21,18,17,20,18,20,18,19,118,109,118,114,112,115,116,114,117,113,85,94,85,89,91,88,87,89,86,90,15,14,12,15,16,13,15,13,15,14
"FOLD4",21,22,21,21,21,22,22,21,22,23,115,125,117,118,116,117,120,119,118,112,91,81,89,88,90,89,86,87,88,94,8,7,8,8,8,7,7,8,7,6
"FOLD5",23,24,20,21,23,22,22,21,21,21,111,115,111,116,110,109,110,116,118,118,91,87,91,86,92,93,92,86,84,84,10,9,13,12,10,11,11,12,12,12
